name,quantity,calories,carbohydrate,fat,protein,link
Bambalouni,"Generic Bambalouni, 1 cup",卡路里: 100,碳水化合: 1克,脂肪: 1克,蛋白質: 50克,Bambalouni
Ghoriba,"Generic Ghoriba, 1 cup",卡路里: 100,碳水化合: 1克,脂肪: 1克,蛋白質: 50克,Ghoriba
Mango sticky rice,1 cup,卡路里: 493,碳水化合: 68.7克,脂肪: 24.6克,蛋白質: 4.9克,Mango%20sticky%20rice
Jianbing,"Generic, 1 crepe",卡路里: 220,碳水化合: 0克,脂肪: 11.2克,蛋白質: 6克,Jianbing
Aguachile,254.14 gramme,卡路里: 294,碳水化合: 34.4克,脂肪: 13.4克,蛋白質: 18.1克,Aguachile
Carrozza,"Generic, 1 Pezzo (90gr)",卡路里: 254,碳水化合: 22.9克,脂肪: 13.5克,蛋白質: 10.9克,Carrozza
Miyan kuka,"Saldumi, 100 g",卡路里: 390,碳水化合: 502克,脂肪: 192克,蛋白質: 37克,Miyan%20kuka
Efo riro,480 gramm,卡路里: 355,碳水化合: 26.2克,脂肪: 23.3克,蛋白質: 24克,Efo%20riro
Ayam masak merah,"Generic, 1 piece",卡路里: 82,碳水化合: 1.8克,脂肪: 4.8克,蛋白質: 7.8克,Ayam%20masak%20merah
Chiffon pie,"Homemade, 1 piece",卡路里: 136,碳水化合: 26克,脂肪: 2克,蛋白質: 4克,Chiffon%20pie
11b8_rxx4d,"g&g, 100 Gramm",卡路里: 243,碳水化合: 2.9克,脂肪: 23克,蛋白質: 6克,11b8_rxx4d
Riso patate e cozze,"Homemade, 253 g",卡路里: 252,碳水化合: 33克,脂肪: 7克,蛋白質: 15克,Riso%20patate%20e%20cozze
Bazin,"Bazin, 100 grammes",卡路里: 304,碳水化合: 1克,脂肪: 28克,蛋白質: 12克,Bazin
Black bottom pie,"Fp4h, 0.083 th",卡路里: 201,碳水化合: 31克,脂肪: 6克,蛋白質: 4克,Black%20bottom%20pie
Pal?c soup,"Pal?c Leves, 100 g",卡路里: 98,碳水化合: 3.7克,脂肪: 3克,蛋白質: 4克,Pal?c%20soup
Sailor sandwich,"Sailor, 100 gr",卡路里: 126,碳水化合: 0克,脂肪: 6.3克,蛋白質: 19.6克,Sailor%20sandwich
Tuwo shinkafa,"Gigi's, 1 cup cooked",卡路里: 218,碳水化合: 0克,脂肪: 0克,蛋白質: 0克,Tuwo%20shinkafa
Carne a la tampique?a,"Cafeterias Tec - Barra Caliente, 1 porci?n",卡路里: 275,碳水化合: 0克,脂肪: 15克,蛋白質: 332克,Carne%20a%20la%20tampique?a
Pastel azteca,"marcela, 230 g",卡路里: 410,碳水化合: 35克,脂肪: 20克,蛋白質: 24克,Pastel%20azteca
Fujian red wine chicken,"Fujian, 50 ml",卡路里: 42,碳水化合: 10.5克,脂肪: 0克,蛋白質: 0克,Fujian%20red%20wine%20chicken
Boeber,"Homemade, 350 ml",卡路里: 161,碳水化合: 18.8克,脂肪: 6.6克,蛋白質: 6.4克,Boeber
Lady Baltimore cake,"Lady Baltimore, 50 g",卡路里: 260,碳水化合: 28.5克,脂肪: 8克,蛋白質: 1克,Lady%20Baltimore%20cake
Yam khai dao,"Generic, 1 cup",卡路里: 412,碳水化合: 6克,脂肪: 41克,蛋白質: 7克,Yam%20khai%20dao
Texas Tommy,"AFV, 5.08 ounce",卡路里: 468,碳水化合: 26克,脂肪: 31克,蛋白質: 21克,Texas%20Tommy
Har cheong gai,"Generic Har Cheong Gai, 1 cup",卡路里: 100,碳水化合: 1克,脂肪: 1克,蛋白質: 50克,Har%20cheong%20gai
Kolokythopita,"Homemade, 100 gr",卡路里: 220,碳水化合: 0克,脂肪: 0克,蛋白質: 0克,Kolokythopita
Karydopita,"Sweet?Hellas, 145 g",卡路里: 213,碳水化合: 18.9克,脂肪: 10.9克,蛋白質: 7.7克,Karydopita
Rinflaj?,"Pire rinflaj? 2, 320 gr",卡路里: 290,碳水化合: 56克,脂肪: 10克,蛋白質: 7克,Rinflaj?
Hainanese curry rice,"Singapore Hawker, 1 packet",卡路里: 583,碳水化合: 98克,脂肪: 15克,蛋白質: 17克,Hainanese%20curry%20rice
Sonoran hot dog,"Sonoran Hot Dog, 1 Hot Dog",卡路里: 397,碳水化合: 42克,脂肪: 18.8克,蛋白質: 15.8克,Sonoran%20hot%20dog
11cfty6q3,"g&g, 100 Gramm",卡路里: 243,碳水化合: 2.9克,脂肪: 23克,蛋白質: 6克,11cfty6q3
Afghani burger,"Afghani, 1 cup",卡路里: 357,碳水化合: 36克,脂肪: 14克,蛋白質: 21克,Afghani%20burger
Teochew porridge,"Generic, 1 bowl (300g)",卡路里: 114,碳水化合: 0克,脂肪: 0克,蛋白質: 0克,Teochew%20porridge
Minestra di ceci,"Mensa, 262 gr.",卡路里: 470,碳水化合: 89克,脂肪: 11克,蛋白質: 16克,Minestra%20di%20ceci
Pastrami on rye,"Outtakes, 1 sandwich",卡路里: 296,碳水化合: 32.3克,脂肪: 7.1克,蛋白質: 24.3克,Pastrami%20on%20rye
Roast beef sandwich,"Homemade Roast Beef Sandwich - dry, 1 sandwich",卡路里: 230,碳水化合: 28克,脂肪: 4.5克,蛋白質: 15克,Roast%20beef%20sandwich
Chahan,184.11 gramm,卡路里: 253,碳水化合: 32.8克,脂肪: 9.4克,蛋白質: 10.6克,Chahan
Sciusceddu,"Generic Sciusceddu, 1 cup",卡路里: 100,碳水化合: 1克,脂肪: 1克,蛋白質: 50克,Sciusceddu
Breakfast burrito,"Breakfast burrito, 1 burrito",卡路里: 300,碳水化合: 26克,脂肪: 16克,蛋白質: 12克,Breakfast%20burrito
11dyjj24g,"g&g, 100 Gramm",卡路里: 243,碳水化合: 2.9克,脂肪: 23克,蛋白質: 6克,11dyjj24g
Sausage Stroganoff,"Allrecipes.Com, 0.25 or recipe",卡路里: 716,碳水化合: 47.5克,脂肪: 43.6克,蛋白質: 23.6克,Sausage%20Stroganoff
